Date,Ozone AQI Value,Site Name,Site ID,Source
3/4/2009,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/5/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/6/2009,49,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/7/2009,49,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/8/2009,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/9/2009,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/10/2009,49,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/11/2009,48,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/12/2009,48,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/13/2009,49,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/14/2009,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/15/2009,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/16/2009,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/17/2009,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/18/2009,49,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/19/2009,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/20/2009,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/21/2009,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/22/2009,48,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/23/2009,64,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/24/2009,54,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/25/2009,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/26/2009,77,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/27/2009,71,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/28/2009,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/29/2009,48,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/30/2009,44,Anderson - North Street,06-089-0007,AQS
3/31/2009,42,Redding - Health Department,06-089-0004,AQS
4/1/2009,44,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/2/2009,44,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/3/2009,58,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/4/2009,64,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/5/2009,87,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/6/2009,58,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/7/2009,51,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/8/2009,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/9/2009,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/10/2009,40,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/11/2009,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/12/2009,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/13/2009,49,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/14/2009,45,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/15/2009,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/16/2009,51,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/17/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/18/2009,41,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/19/2009,49,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/20/2009,44,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/21/2009,64,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/22/2009,71,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/23/2009,51,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/24/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/25/2009,49,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/26/2009,51,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/27/2009,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/28/2009,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/29/2009,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/30/2009,50,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/1/2009,40,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/2/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/3/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/4/2009,49,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/5/2009,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/6/2009,35,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/7/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/8/2009,41,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/9/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/10/2009,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/11/2009,54,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/12/2009,54,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/13/2009,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/14/2009,29,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/15/2009,44,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/16/2009,47,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/17/2009,58,Anderson - North Street,06-089-0007,AQS
5/18/2009,93,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/19/2009,43,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/20/2009,58,Anderson - North Street,06-089-0007,AQS
5/21/2009,97,Anderson - North Street,06-089-0007,AQS
5/22/2009,101,Anderson - North Street,06-089-0007,AQS
5/23/2009,90,Anderson - North Street,06-089-0007,AQS
5/24/2009,64,Anderson - North Street,06-089-0007,AQS
5/25/2009,50,Anderson - North Street,06-089-0007,AQS
5/26/2009,46,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/27/2009,47,Anderson - North Street,06-089-0007,AQS
5/28/2009,93,Anderson - North Street,06-089-0007,AQS
5/29/2009,67,Anderson - North Street,06-089-0007,AQS
5/30/2009,77,Anderson - North Street,06-089-0007,AQS
5/31/2009,54,Anderson - North Street,06-089-0007,AQS
6/1/2009,46,Anderson - North Street,06-089-0007,AQS
6/2/2009,41,Anderson - North Street,06-089-0007,AQS
6/3/2009,39,Anderson - North Street,06-089-0007,AQS
6/4/2009,43,Redding - Health Department,06-089-0004,AQS
6/5/2009,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/6/2009,33,Anderson - North Street,06-089-0007,AQS
6/7/2009,37,Anderson - North Street,06-089-0007,AQS
6/8/2009,44,Anderson - North Street,06-089-0007,AQS
6/9/2009,39,Anderson - North Street,06-089-0007,AQS
6/10/2009,36,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/11/2009,38,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/12/2009,42,Anderson - North Street,06-089-0007,AQS
6/13/2009,43,Anderson - North Street,06-089-0007,AQS
6/14/2009,43,Anderson - North Street,06-089-0007,AQS
6/15/2009,45,Anderson - North Street,06-089-0007,AQS
6/16/2009,49,Anderson - North Street,06-089-0007,AQS
6/17/2009,54,Anderson - North Street,06-089-0007,AQS
6/18/2009,54,Anderson - North Street,06-089-0007,AQS
6/19/2009,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/20/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/21/2009,31,Redding - Health Department,06-089-0004,AQS
6/22/2009,36,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/23/2009,47,Anderson - North Street,06-089-0007,AQS
6/24/2009,90,Anderson - North Street,06-089-0007,AQS
6/25/2009,97,Anderson - North Street,06-089-0007,AQS
6/26/2009,50,Anderson - North Street,06-089-0007,AQS
6/27/2009,54,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/28/2009,71,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/29/2009,67,Anderson - North Street,06-089-0007,AQS
6/30/2009,97,Anderson - North Street,06-089-0007,AQS
7/1/2009,115,Anderson - North Street,06-089-0007,AQS
7/2/2009,122,Anderson - North Street,06-089-0007,AQS
7/3/2009,97,Anderson - North Street,06-089-0007,AQS
7/4/2009,90,Anderson - North Street,06-089-0007,AQS
7/5/2009,47,Anderson - North Street,06-089-0007,AQS
7/6/2009,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
7/7/2009,48,Anderson - North Street,06-089-0007,AQS
7/8/2009,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
7/9/2009,46,Anderson - North Street,06-089-0007,AQS
7/10/2009,47,Anderson - North Street,06-089-0007,AQS
7/11/2009,47,Anderson - North Street,06-089-0007,AQS
7/12/2009,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
7/13/2009,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
7/14/2009,44,Anderson - North Street,06-089-0007,AQS
7/15/2009,100,Anderson - North Street,06-089-0007,AQS
7/16/2009,87,Anderson - North Street,06-089-0007,AQS
7/17/2009,80,Anderson - North Street,06-089-0007,AQS
7/18/2009,100,Anderson - North Street,06-089-0007,AQS
7/19/2009,51,Anderson - North Street,06-089-0007,AQS
7/20/2009,105,Anderson - North Street,06-089-0007,AQS
7/21/2009,71,Anderson - North Street,06-089-0007,AQS
7/22/2009,87,Redding - Health Department,06-089-0004,AQS
7/23/2009,97,Anderson - North Street,06-089-0007,AQS
7/24/2009,97,Redding - Health Department,06-089-0004,AQS
7/25/2009,97,Redding - Health Department,06-089-0004,AQS
7/26/2009,74,Anderson - North Street,06-089-0007,AQS
7/27/2009,44,Anderson - North Street,06-089-0007,AQS
7/28/2009,90,Anderson - North Street,06-089-0007,AQS
7/29/2009,101,Anderson - North Street,06-089-0007,AQS
7/30/2009,97,Anderson - North Street,06-089-0007,AQS
7/31/2009,84,Anderson - North Street,06-089-0007,AQS
8/1/2009,90,Anderson - North Street,06-089-0007,AQS
8/2/2009,54,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/3/2009,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/4/2009,44,Anderson - North Street,06-089-0007,AQS
8/5/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/6/2009,24,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/7/2009,42,Anderson - North Street,06-089-0007,AQS
8/8/2009,44,Anderson - North Street,06-089-0007,AQS
8/9/2009,48,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/10/2009,54,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/11/2009,101,Anderson - North Street,06-089-0007,AQS
8/12/2009,33,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/13/2009,35,Redding - Health Department,06-089-0004,AQS
8/14/2009,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/15/2009,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/16/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/17/2009,42,Anderson - North Street,06-089-0007,AQS
8/18/2009,41,Anderson - North Street,06-089-0007,AQS
8/19/2009,100,Anderson - North Street,06-089-0007,AQS
8/20/2009,115,Anderson - North Street,06-089-0007,AQS
8/21/2009,112,Anderson - North Street,06-089-0007,AQS
8/22/2009,87,Anderson - North Street,06-089-0007,AQS
8/23/2009,54,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/24/2009,74,Anderson - North Street,06-089-0007,AQS
8/25/2009,84,Anderson - North Street,06-089-0007,AQS
8/26/2009,87,Anderson - North Street,06-089-0007,AQS
8/27/2009,77,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/28/2009,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/29/2009,32,Anderson - North Street,06-089-0007,AQS
8/30/2009,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/31/2009,44,Anderson - North Street,06-089-0007,AQS
9/1/2009,45,Anderson - North Street,06-089-0007,AQS
9/2/2009,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/3/2009,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/4/2009,47,Anderson - North Street,06-089-0007,AQS
9/5/2009,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/6/2009,35,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/7/2009,35,Anderson - North Street,06-089-0007,AQS
9/8/2009,40,Anderson - North Street,06-089-0007,AQS
9/9/2009,49,Anderson - North Street,06-089-0007,AQS
9/10/2009,58,Anderson - North Street,06-089-0007,AQS
9/11/2009,54,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/12/2009,54,Anderson - North Street,06-089-0007,AQS
9/13/2009,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/14/2009,32,Redding - Health Department,06-089-0004,AQS
9/15/2009,42,Redding - Health Department,06-089-0004,AQS
9/16/2009,58,Anderson - North Street,06-089-0007,AQS
9/17/2009,40,Anderson - North Street,06-089-0007,AQS
9/18/2009,51,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
