"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"08/24/2002","129","","Santa Clarita","06-037-6012","AQS"
"08/25/2002","195","","Santa Clarita","06-037-6012","AQS"
"08/26/2002","129","","Santa Clarita","06-037-6012","AQS"
"08/27/2002","156","","Lancaster-Division Street","06-037-9033","AQS"
"08/28/2002","97","","Lancaster-Division Street","06-037-9033","AQS"
"08/29/2002","101","","Lancaster-Division Street","06-037-9033","AQS"
"08/30/2002","97","","Glendora","06-037-0016","AQS"
"08/31/2002","140","","Santa Clarita","06-037-6012","AQS"
"09/01/2002","147","","Mission Viejo","06-059-2022","AQS"
"09/02/2002","185","","Pasadena","06-037-2005","AQS"
"09/03/2002","166","","Santa Clarita","06-037-6012","AQS"
"09/04/2002","166","","Santa Clarita","06-037-6012","AQS"
"09/05/2002","36","","Santa Clarita","06-037-6012","AQS"
"09/06/2002","40","","Lancaster-Division Street","06-037-9033","AQS"
"09/07/2002","49","","Santa Clarita","06-037-6012","AQS"
"09/08/2002","84","","Santa Clarita","06-037-6012","AQS"
"09/09/2002","80","","Santa Clarita","06-037-6012","AQS"
"09/10/2002","97","","Reseda","06-037-1201","AQS"
"09/11/2002","151","","Santa Clarita","06-037-6012","AQS"
"09/12/2002","126","","Lancaster-Division Street","06-037-9033","AQS"
"09/13/2002","185","","Santa Clarita","06-037-6012","AQS"
"09/14/2002","182","","Reseda","06-037-1201","AQS"
"09/15/2002","177","","Glendora","06-037-0016","AQS"
"09/16/2002","64","","Santa Clarita","06-037-6012","AQS"
"09/17/2002","71","","Reseda","06-037-1201","AQS"
"09/18/2002","54","","Santa Clarita","06-037-6012","AQS"
"09/19/2002","80","","Glendora","06-037-0016","AQS"
"09/20/2002","159","","Santa Clarita","06-037-6012","AQS"
"09/21/2002","154","","Glendora","06-037-0016","AQS"
"09/22/2002","192","","Glendora","06-037-0016","AQS"
"09/23/2002","136","","Santa Clarita","06-037-6012","AQS"
"09/24/2002","206","","Reseda","06-037-1201","AQS"
"09/25/2002","150","","Santa Clarita","06-037-6012","AQS"
"09/26/2002","151","","Santa Clarita","06-037-6012","AQS"
"09/27/2002","44","","Lancaster-Division Street","06-037-9033","AQS"
"09/28/2002","33","","Costa Mesa","06-059-1003","AQS"
"09/29/2002","44","","Santa Clarita","06-037-6012","AQS"
"09/30/2002","44","","Lancaster-Division Street","06-037-9033","AQS"
"10/01/2002","40","","Costa Mesa","06-059-1003","AQS"
"10/02/2002","47","","Santa Clarita","06-037-6012","AQS"
"10/03/2002","61","","West Los Angeles","06-037-0113","AQS"
"10/04/2002","90","","Santa Clarita","06-037-6012","AQS"
"10/05/2002","115","","Glendora","06-037-0016","AQS"
"10/06/2002","93","","West Los Angeles","06-037-0113","AQS"
"10/07/2002","100","","Costa Mesa","06-059-1003","AQS"
"10/08/2002","147","","Santa Clarita","06-037-6012","AQS"
"10/09/2002","143","","Santa Clarita","06-037-6012","AQS"
"10/10/2002","87","","Santa Clarita","06-037-6012","AQS"
"10/11/2002","45","","Lancaster-Division Street","06-037-9033","AQS"
"10/12/2002","48","","Lancaster-Division Street","06-037-9033","AQS"
"10/13/2002","67","","Santa Clarita","06-037-6012","AQS"
"10/14/2002","54","","West Los Angeles","06-037-0113","AQS"
"10/15/2002","74","","Costa Mesa","06-059-1003","AQS"
"10/16/2002","71","","Costa Mesa","06-059-1003","AQS"
"10/17/2002","61","","Costa Mesa","06-059-1003","AQS"
"10/18/2002","61","","Lancaster-Division Street","06-037-9033","AQS"
"10/19/2002","87","","Lancaster-Division Street","06-037-9033","AQS"
"10/20/2002","77","","Lancaster-Division Street","06-037-9033","AQS"
"10/21/2002","77","","Costa Mesa","06-059-1003","AQS"
"10/22/2002","74","","Lancaster-Division Street","06-037-9033","AQS"
"10/23/2002","61","","West Los Angeles","06-037-0113","AQS"
"10/24/2002","48","","West Los Angeles","06-037-0113","AQS"
"10/25/2002","42","","West Los Angeles","06-037-0113","AQS"
